username,name,location,company,public_repos,followers,account_created,commit_count_90d,repos_checked,pr_count_90d,after_hours_prs,async_ratio,review_comments_90d,collaboration_index,collected_at,lookback_days
AkihiroSuda,Akihiro Suda,"Tokyo, Japan",NTT,321,1722,2014-10-15T08:07:00Z,74,30,6,1,0.167,40,80.0,2026-04-13T06:02:25.441480+00:00,90
thockin,Tim Hockin,United States,Google,65,2046,2013-10-02T14:46:42Z,203,5,1,1,1.0,45,90.0,2026-04-13T06:02:33.385835+00:00,90
dims,Davanum Srinivas,Massachusetts,Nvidia,409,1050,2008-09-05T13:02:45Z,463,30,18,9,0.5,37,74.0,2026-04-13T06:03:28.572550+00:00,90
deads2k,David Eads,"Raleigh, NC",Red Hat OpenShift,206,528,2014-07-21T14:26:53Z,206,6,17,4,0.235,85,100.0,2026-04-13T06:03:58.226301+00:00,90
potiuk,Jarek Potiuk,Warsaw,Apache Software Foundation,120,826,2011-02-01T20:00:50Z,323,8,18,8,0.444,16,32.0,2026-04-13T06:04:33.290462+00:00,90
emilio,Emilio Cobos Álvarez,"Salamanca, Spain",@mozilla,294,691,2012-01-11T22:58:38Z,235,10,6,0,0.0,11,22.0,2026-04-13T06:05:01.356415+00:00,90
nical,Nicolas Silva,"Lyon, France",Mozilla,101,470,2010-05-04T19:44:07Z,70,8,8,4,0.5,0,0.0,2026-04-13T06:05:16.828452+00:00,90
simonw,Simon Willison,"Half Moon Bay, California",Datasette,952,14116,2008-05-07T17:22:14Z,286,30,7,2,0.286,0,0.0,2026-04-13T06:06:05.668896+00:00,90
cpcloud,Phillip Cloud,,@NVIDIA,50,509,2010-09-27T18:10:05Z,248,13,24,3,0.125,0,0.0,2026-04-13T06:07:02.212324+00:00,90
ShaharNaveh,Shahar Naveh,::1,,70,21,2019-05-04T09:59:46Z,201,6,30,7,0.233,19,38.0,2026-04-13T06:08:06.227242+00:00,90
cournape,David Cournapeau,"Tokyo, Japan",AMAZON JP,149,608,2008-09-18T04:42:23Z,85,1,0,0,0.0,0,0.0,2026-04-13T06:08:17.600275+00:00,90
